CITY,0 to 14 years,0 to 14 years M,0 to 14 years F,15 to 19 years,15 to 19 years M,15 to 19 years F
Ajax,"23,660","12,035","11,625","8,535","4,365","4,170"
Brampton,"120,245","62,305","57,940","42,820","22,450","20,370"
Markham,"55,390","28,570","26,815","21,095","10,910","10,185"
Mississsauga,"120,925","61,900","59,030","49,205","25,670","23,535"
Oshawa,"26,575","13,660","12,910","9,220","4,625","4,595"
Pickering,"14,915","7,575","7,335","6,290","3,300","2,990"
Toronto,"398,135","204,190","193,945","145,525","74,240","71,280"
